date,tactic,state,campaign,impression,clicks,spend,attributed revenue,platform,orders,new_orders,new_customers,total_revenue,gross_profit,cogs,roas,cpc,ctr,total_daily_spend,cac
2025-06-03,ASC,NY,Facebook - ASC - C01,136907,2189,1204.86,3460.55,Facebook,3281,1413,1428,347768.64,210208.71,137559.93,2.8721594210115704,0.550415714938328,1.5988956006632238,51232.64,35.87719887955182
2025-06-04,ASC,NY,Facebook - ASC - C01,168633,2278,2535.25,6341.69,Facebook,3178,1486,1395,326038.67,187910.1,138128.57,2.5014061729612465,1.112928007023705,1.350862523942526,46824.97,33.56628673835125
2025-06-05,ASC,NY,Facebook - ASC - C01,269120,4427,2197.12,6647.5,Facebook,3256,1347,1363,264534.4,140613.06,123921.34,3.0255516312263326,0.49629997741133947,1.6449910820451843,47383.54,34.76415260454879
2025-06-06,ASC,NY,Facebook - ASC - C01,199471,3130,1483.14,4831.43,Facebook,2941,1080,1016,294622.51,150806.04,143816.47,3.2575684021737663,0.47384664536741217,1.569150402815447,51800.26,50.98450787401575
2025-06-07,ASC,NY,Facebook - ASC - C01,199427,2815,1933.81,4657.49,Facebook,3588,1642,1592,312361.94,183159.55,129202.39,2.4084527435477114,0.6869662522202487,1.411544073771355,44771.76,28.122964824120604
2025-06-08,ASC,NY,Facebook - ASC - C01,156132,2542,1633.47,5040.63,Facebook,2351,1166,1108,238539.55,123202.23,115337.32,3.085841796910871,0.6425924468922108,1.6281095483308996,46518.229999999996,41.983962093862814
2025-06-09,ASC,NY,Facebook - ASC - C01,196833,3153,1523.35,3914.97,Facebook,4688,1446,1416,332386.4,164252.25,168134.15,2.5699740703055767,0.4831430383761497,1.6018655408391886,52683.01,37.20551553672316
2025-06-10,ASC,NY,Facebook - ASC - C01,188667,2924,1343.0,4280.36,Facebook,2844,1560,1491,279947.9,138358.0,141589.9,3.187163067758749,0.45930232558139533,1.5498205833558598,40869.31,27.410670690811536
2025-06-11,ASC,NY,Facebook - ASC - C01,99181,1567,957.23,2833.2,Facebook,2503,1115,1066,266579.13,134311.89,132267.24,2.9597902280538637,0.6108679004467135,1.5799397061937268,51503.31,48.314549718574106
2025-06-12,ASC,NY,Facebook - ASC - C01,96781,1404,1363.99,4002.28,Facebook,3226,1409,1434,245632.45,122339.86,123292.59,2.934244385955909,0.971502849002849,1.4506979675762806,44810.19,31.248389121338914
2025-06-13,ASC,NY,Facebook - ASC - C01,164254,2427,1594.02,4190.08,Facebook,3794,1442,1439,280759.18,173768.89,106990.29,2.6286244840089834,0.6567861557478368,1.4775895868593762,50481.6,35.081028492008336
2025-06-14,ASC,NY,Facebook - ASC - C01,131896,1966,1481.94,4395.67,Facebook,2849,1407,1366,254952.68,125791.92,129160.76,2.9661592237202585,0.7537843336724314,1.4905683265603202,46089.96,33.74081991215227
2025-06-15,ASC,NY,Facebook - ASC - C01,114285,1789,1066.97,2600.54,Facebook,3837,1909,1940,273449.33,154000.52,119448.81,2.437313139076075,0.5964058133035215,1.5653847836548977,44597.090000000004,22.988190721649488
2025-06-16,ASC,NY,Facebook - ASC - C01,194886,2650,2317.86,5778.1,Facebook,3112,1406,1413,246546.12,146123.4,100422.72,2.492859793085001,0.8746641509433962,1.3597693010272673,41906.340000000004,29.657707006369428
2025-06-17,ASC,NY,Facebook - ASC - C01,186481,3075,2300.16,5786.03,Facebook,2754,828,796,268478.64,155613.89,112864.75,2.5154902267668335,0.7480195121951219,1.6489615564052102,42395.16,53.260251256281414
2025-06-18,ASC,NY,Facebook - ASC - C01,140242,2171,948.94,2652.16,Facebook,2350,948,933,205892.84,111708.52,94184.32,2.794865850317196,0.437098111469369,1.5480383907816488,39650.9,42.498285101822084
2025-06-19,ASC,NY,Facebook - ASC - C01,139746,2088,1004.31,3006.39,Facebook,3329,1745,1642,252292.39,135610.52,116681.87,2.9934880664336707,0.4809913793103448,1.494139367137521,38218.23,23.275414129110843
2025-06-20,ASC,NY,Facebook - ASC - C01,257625,3800,3395.33,11143.28,Facebook,2352,1050,1029,238838.78,140053.87,98784.91,3.2819431395475553,0.8935078947368421,1.4750121300339643,38111.87,37.037774538386785
2025-06-21,ASC,NY,Facebook - ASC - C01,164949,2475,1276.54,3163.95,Facebook,2642,1314,1325,193739.26,101995.71,91743.55,2.4785357293935166,0.5157737373737373,1.5004637797137297,38409.59,28.98836981132075
2025-06-22,ASC,NY,Facebook - ASC - C01,123672,1758,1663.0,3938.73,Facebook,2629,1324,1237,204623.63,110598.24,94025.39,2.3684485868911604,0.9459613196814562,1.4215020376479721,39586.29,32.00185125303153
2025-06-23,ASC,NY,Facebook - ASC - C01,163100,2508,982.86,3115.8,Facebook,2678,1088,1013,224725.49,124066.35,100659.14,3.170136133325194,0.39188995215311007,1.5377069282648683,41134.66,40.606771964462
2025-06-24,ASC,NY,Facebook - ASC - C01,193416,2667,2048.86,5627.95,Facebook,2789,1036,1008,223036.6,118532.52,104504.08,2.7468689905606043,0.7682264716910386,1.3788931629234396,37588.0,37.28968253968254
2025-06-25,ASC,NY,Facebook - ASC - C01,138038,2047,1589.5,4226.82,Facebook,2076,1068,1022,226634.34,120591.38,106042.96,2.6592135891789868,0.7765021983390328,1.4829249916689606,38266.69,37.442945205479454
2025-06-26,ASC,NY,Facebook - ASC - C01,206182,3186,2411.62,6281.64,Facebook,3659,1354,1292,258581.26,130668.26,127913.0,2.604738723347791,0.7569428750784682,1.545236732595474,39016.98,30.198900928792572
2025-06-27,ASC,NY,Facebook - ASC - C01,136431,1929,883.72,2357.68,Facebook,2453,751,711,184223.58,108267.23,75956.35,2.6679038609514323,0.45812337998963193,1.4139015326428745,36252.9,50.98860759493671
2025-06-28,ASC,NY,Facebook - ASC - C01,116488,1671,934.11,2518.66,Facebook,3930,1849,1846,307475.24,149606.21,157869.03,2.696320561818201,0.5590125673249551,1.4344825218048212,45059.86,24.409458288190685
2025-06-29,ASC,NY,Facebook - ASC - C01,210319,3024,2105.02,6261.03,Facebook,2434,939,935,262293.26,154577.22,107716.04,2.974332785436718,0.6961044973544973,1.4378158891968866,42239.76,45.17621390374332
2025-06-30,ASC,NY,Facebook - ASC - C01,121667,1689,1351.45,4213.11,Facebook,3922,1709,1645,294637.56,153617.64,141019.92,3.1174738244108178,0.8001480165778567,1.388215374752398,46959.11,28.54657142857143
2025-07-01,ASC,NY,Facebook - ASC - C01,219863,3600,2229.93,6230.74,Facebook,2691,1280,1253,260678.58,151234.85,109443.73,2.7941415201374036,0.619425,1.6373832795877432,42098.21,33.59793296089386
2025-07-02,ASC,NY,Facebook - ASC - C01,246486,3438,3554.31,10572.13,Facebook,2185,1010,936,221373.06,110298.83,111074.23,2.9744535507595002,1.0338307155322861,1.3948053844843114,41694.88,44.545811965811964
2025-07-03,ASC,NY,Facebook - ASC - C01,175794,2754,977.16,2604.92,Facebook,2425,1294,1301,245773.9,143543.71,102230.19,2.6658070326251586,0.3548148148148148,1.5666063688180483,44573.31,34.26080707148347
2025-07-04,ASC,NY,Facebook - ASC - C01,197017,2875,2060.84,5333.31,Facebook,2863,1528,1508,309074.55,157364.9,151709.65,2.587930164398983,0.7168139130434783,1.45926493652832,46890.12,31.09424403183024
2025-07-05,ASC,NY,Facebook - ASC - C01,133370,1968,1394.65,4187.16,Facebook,2401,1308,1281,255166.55,156650.22,98516.33,3.002301652744416,0.7086636178861789,1.4755942115918124,46364.77,36.19419984387197
2025-07-06,ASC,NY,Facebook - ASC - C01,294259,4463,2651.6,7697.45,Facebook,2325,1037,992,250387.78,131988.5,118399.28,2.902945391461759,0.594129509298678,1.5166910782677845,48769.05,49.16234879032258
2025-07-07,ASC,NY,Facebook - ASC - C01,106236,1707,715.49,2197.48,Facebook,3157,1067,1055,281358.54,144783.74,136574.8,3.071293798655467,0.41915055653192734,1.6067999548175762,52654.84,49.909800947867296
2025-07-08,ASC,NY,Facebook - ASC - C01,129236,1980,1561.77,4129.62,Facebook,4059,1859,1828,309158.9,162124.63,147034.27,2.6441921665802264,0.7887727272727273,1.5320808443467764,48011.62,26.264562363238515
2025-07-09,ASC,NY,Facebook - ASC - C01,156317,2224,2282.72,6183.83,Facebook,3405,1603,1558,309767.38,166259.78,143507.6,2.708974381439686,1.0264028776978416,1.422749924832232,55520.98,35.63605905006418
2025-07-10,ASC,NY,Facebook - ASC - C01,303377,4345,2244.56,6186.55,Facebook,3201,1142,1059,308905.09,154759.0,154146.09,2.756241757850091,0.516584579976985,1.4322114069293321,46183.35,43.61033994334277
2025-07-11,ASC,NY,Facebook - ASC - C01,229461,3758,2042.67,4962.26,Facebook,2721,1117,1096,287198.02,172144.23,115053.79,2.429300866023391,0.5435524215007983,1.637751077525157,46163.16,42.119671532846716
2025-07-12,ASC,NY,Facebook - ASC - C01,266579,3715,1833.05,4955.2,Facebook,2422,807,796,244765.7,125622.42,119143.28,2.70325413927607,0.4934185733512786,1.3935831404574253,45368.22,56.995251256281406
2025-07-13,ASC,NY,Facebook - ASC - C01,234512,3318,2021.92,5667.66,Facebook,2375,963,934,253761.23,131128.09,122633.14,2.8031079370103664,0.6093791440626883,1.4148529712765232,44672.29,47.82900428265525
2025-07-14,ASC,NY,Facebook - ASC - C01,124700,1887,1559.25,4352.1,Facebook,2387,852,868,258456.91,137153.92,121302.99,2.7911495911495914,0.8263116057233705,1.5132317562149158,46806.56,53.92460829493087
2025-07-15,ASC,NY,Facebook - ASC - C01,240654,3394,3002.52,8873.42,Facebook,2597,1428,1354,222248.63,110293.62,111955.01,2.9553241943434183,0.8846552740129641,1.4103235350336998,42026.63,31.038870014771046
2025-07-16,ASC,NY,Facebook - ASC - C01,226529,3284,3184.95,9829.64,Facebook,3996,1865,1772,318631.49,168834.07,149797.42,3.0862776495706368,0.9698386114494518,1.4497040114069282,45814.35,25.854599322799096
2025-07-17,ASC,NY,Facebook - ASC - C01,158611,2526,1629.57,3936.77,Facebook,2645,892,871,210274.48,122505.97,87768.51,2.415833624821272,0.6451187648456057,1.5925755464627294,37734.46,43.32314580941446
2025-07-18,ASC,NY,Facebook - ASC - C01,99173,1620,939.47,2447.45,Facebook,2451,1336,1345,234358.56,122684.32,111674.24,2.6051390677722543,0.5799197530864197,1.6335091204259224,39277.59,29.20266914498141
2025-07-19,ASC,NY,Facebook - ASC - C01,105099,1685,969.55,3010.36,Facebook,2282,772,786,208348.08,116790.05,91558.03,3.1049043370635863,0.57540059347181,1.6032502687941848,34412.770000000004,43.782150127226465
2025-07-20,ASC,NY,Facebook - ASC - C01,147625,2396,975.84,2703.99,Facebook,3558,1611,1643,269928.31,160649.81,109278.5,2.7709358091490404,0.4072787979966611,1.6230313293818799,36604.55,22.27909312233719
2025-07-21,ASC,NY,Facebook - ASC - C01,184911,2839,1692.21,4175.76,Facebook,2838,1160,1106,267155.65,148102.94,119052.71,2.4676369954083714,0.5960584712927087,1.5353332143571772,43222.36,39.07989150090416
2025-07-22,ASC,NY,Facebook - ASC - C01,158511,2312,2049.73,5632.21,Facebook,3003,1322,1276,214550.99,116024.2,98526.79,2.74778141511321,0.8865614186851211,1.4585738529187249,37818.79,29.63855015673981
2025-07-23,ASC,NY,Facebook - ASC - C01,136826,2246,1866.98,5420.45,Facebook,3858,1748,1741,284255.03,150056.99,134198.04,2.903325156134506,0.831246660730187,1.6415008843348486,48960.28,28.12192992533027
2025-07-24,ASC,NY,Facebook - ASC - C01,228762,3265,1451.79,3747.95,Facebook,2103,696,709,214993.51,113319.63,101673.88,2.5816061551601814,0.44465237366003063,1.4272475323698866,33869.28,47.77049365303244
2025-07-25,ASC,NY,Facebook - ASC - C01,179362,2659,1640.77,4989.77,Facebook,2797,1123,1076,291251.97,174849.58,116402.39,3.041114842421546,0.6170628055660022,1.482476778804875,41372.9,38.45065055762082
2025-07-26,ASC,NY,Facebook - ASC - C01,133497,1810,1911.35,5005.31,Facebook,2812,946,945,280697.62,148965.29,131732.33,2.6187302168624274,1.0559944751381214,1.3558357116639326,42468.380000000005,44.940084656084665
2025-07-27,ASC,NY,Facebook - ASC - C01,161395,2499,2074.76,4724.8,Facebook,2377,815,799,224499.08,117565.4,106933.68,2.277275443906765,0.8302360944377752,1.5483751045571423,43980.13,55.04396745932415
2025-07-28,ASC,NY,Facebook - ASC - C01,261169,4082,3475.86,9407.92,Facebook,2561,1095,1045,204053.06,108272.37,95780.69,2.706645261892021,0.8515090641842235,1.5629726345776105,37630.299999999996,36.00985645933014
2025-07-29,ASC,NY,Facebook - ASC - C01,211538,3004,2391.51,6092.28,Facebook,3260,1035,993,254314.45,147428.24,106886.21,2.547461645571208,0.7961085219707058,1.420075825619983,44248.48,44.56040281973817
2025-07-30,ASC,NY,Facebook - ASC - C01,257560,3662,2907.33,7975.97,Facebook,4266,1440,1451,343570.79,201524.77,142046.02,2.7434003019953015,0.7939186237028946,1.4218046280478336,50580.5,34.85906271536871
2025-07-31,ASC,NY,Facebook - ASC - C01,192181,2617,2196.53,5473.56,Facebook,3160,1347,1291,238995.46,141694.68,97300.78,2.4919122434020933,0.8393312953763853,1.3617371124096556,43382.520000000004,33.60381099922541
2025-08-01,ASC,NY,Facebook - ASC - C01,166045,2607,1727.02,4515.05,Facebook,2938,1401,1301,239297.93,120148.75,119149.18,2.614358837766789,0.6624549290372075,1.570056310036436,44198.22,33.97249807840123
2025-08-02,ASC,NY,Facebook - ASC - C01,277450,3855,3318.72,10125.26,Facebook,3018,1570,1543,258875.51,148809.85,110065.66,3.050953379616238,0.8608871595330739,1.3894395386556135,47389.65,30.712670123136746
2025-08-03,ASC,NY,Facebook - ASC - C01,165132,2229,2461.21,7693.04,Facebook,3702,1620,1554,340964.16,199409.58,141554.58,3.125714587540275,1.104176760879318,1.3498292275270691,49213.37,31.668835263835266
2025-08-04,ASC,NY,Facebook - ASC - C01,146288,2147,1734.71,5429.21,Facebook,2677,950,898,247384.79,144893.62,102491.17,3.129750794080855,0.8079692594317652,1.4676528491742316,47178.85,52.537694877505565
2025-08-05,ASC,NY,Facebook - ASC - C01,257120,3800,2352.45,6823.01,Facebook,2524,1232,1145,255349.35,151364.66,103984.69,2.9003847053072334,0.6190657894736842,1.4779091474797759,47286.14,41.29793886462882
2025-08-06,ASC,NY,Facebook - ASC - C01,139431,2131,1443.9,3909.96,Facebook,3054,1333,1240,286964.59,156208.01,130756.58,2.7079160606690214,0.6775692163303614,1.528354526611729,43043.71,34.71266935483871
2025-08-07,ASC,NY,Facebook - ASC - C01,124245,1907,1260.81,3018.67,Facebook,3816,1271,1250,290615.11,166892.32,123722.79,2.3942306929672195,0.6611484006292606,1.534870618535957,46013.44,36.810752
2025-08-08,ASC,NY,Facebook - ASC - C01,142972,2052,1757.12,4436.31,Facebook,3322,1342,1305,300068.84,182338.19,117730.65,2.524762110726644,0.8562962962962962,1.4352460621660186,47181.28,36.15423754789272
2025-08-09,ASC,NY,Facebook - ASC - C01,175004,2686,1169.05,3038.98,Facebook,3296,1789,1796,299669.71,178918.65,120751.06,2.5995295325264105,0.43523827252419955,1.5348220612100294,48407.82,26.953129175946547
2025-08-10,ASC,NY,Facebook - ASC - C01,356260,5527,2857.13,8265.75,Facebook,3153,1588,1507,306997.73,169616.47,137381.26,2.8930255186148335,0.5169404740365479,1.5513950485600403,47270.89,31.367544790975447
2025-08-11,ASC,NY,Facebook - ASC - C01,217611,3173,2763.36,6696.77,Facebook,2309,1072,1019,252722.59,153870.3,98852.29,2.423415696832841,0.8708982035928144,1.458106437634127,48350.47,47.4489401373896
2025-08-12,ASC,NY,Facebook - ASC - C01,202106,2835,2142.56,5465.45,Facebook,2954,1318,1313,285009.86,143614.18,141395.68,2.550897057725338,0.755753086419753,1.4027292608829032,41314.55,31.46576542269612
2025-08-13,ASC,NY,Facebook - ASC - C01,267859,3751,2688.73,7063.32,Facebook,2900,1238,1232,244095.73,145083.84,99011.89,2.627009777850509,0.7168035190615836,1.4003636241455393,42955.48,34.86646103896104
2025-08-14,ASC,NY,Facebook - ASC - C01,251582,3789,1467.38,4469.44,Facebook,2557,1363,1288,246950.21,121768.63,125181.58,3.0458640570268094,0.3872736869886514,1.506069591624202,36275.32,28.164068322981365
2025-08-15,ASC,NY,Facebook - ASC - C01,174773,2591,1429.5,4531.43,Facebook,2017,894,859,204220.75,99324.09,104896.66,3.1699405386498776,0.5517174835970667,1.482494435639372,35695.15,41.55430733410943
2025-08-16,ASC,NY,Facebook - ASC - C01,198503,3191,2776.96,8488.78,Facebook,3486,1371,1304,287374.16,174824.52,112549.64,3.056860739801798,0.8702475712942651,1.6075323798632766,48459.13,37.16190950920245
2025-08-17,ASC,NY,Facebook - ASC - C01,231269,3631,2616.37,7441.92,Facebook,3046,1172,1097,260207.76,157620.15,102587.61,2.8443683423980555,0.7205645827595704,1.5700331648426724,49239.29,44.885405651777575
2025-08-18,ASC,NY,Facebook - ASC - C01,271320,3861,2603.25,6808.93,Facebook,2303,1243,1156,206556.83,121671.75,84885.08,2.6155497935273218,0.6742424242424242,1.4230429013710748,36802.81,31.836340830449824
2025-08-19,ASC,NY,Facebook - ASC - C01,172653,2603,1706.28,4619.34,Facebook,2358,745,750,241960.59,144644.5,97316.09,2.7072578943666925,0.6555051863234729,1.5076482887641687,37654.91,50.20654666666667
2025-08-20,ASC,NY,Facebook - ASC - C01,160306,2465,1462.36,3786.93,Facebook,3105,1069,1015,238645.09,127445.31,111199.78,2.5896017396537103,0.5932494929006085,1.5376841790076479,39890.51,39.30099507389163
2025-08-21,ASC,NY,Facebook - ASC - C01,230522,3573,1728.74,5260.78,Facebook,2530,1303,1329,205032.67,102612.53,102420.14,3.043129678262781,0.483834312902323,1.5499605243751138,37202.99,27.993220466516178
2025-08-22,ASC,NY,Facebook - ASC - C01,135923,2219,1681.86,5524.03,Facebook,2168,668,645,215178.34,113944.49,101233.85,3.284476710308825,0.7579360072104551,1.63254195390037,36421.65,56.46767441860465
2025-08-23,ASC,NY,Facebook - ASC - C01,129750,1962,1878.48,5167.81,Facebook,3550,1568,1548,320310.11,188007.73,132302.38,2.751059367147907,0.9574311926605504,1.5121387283236996,47025.4,30.378165374677003
2025-08-24,ASC,NY,Facebook - ASC - C01,108025,1516,1001.78,2804.87,Facebook,2523,1256,1178,258953.2,128419.08,130534.12,2.799886202559444,0.6608047493403694,1.4033788474890072,45731.2,38.821052631578944
2025-08-25,ASC,NY,Facebook - ASC - C01,250772,3732,2784.36,9098.13,Facebook,3242,1491,1514,268195.98,149466.13,118729.85,3.267583933112097,0.7460771704180065,1.4882044247364141,40112.1,26.494121532364595
2025-08-26,ASC,NY,Facebook - ASC - C01,169995,2410,2268.09,6178.77,Facebook,3386,1325,1290,295071.75,179926.24,115145.51,2.724217292964565,0.9411161825726142,1.4176887555516338,44026.42,34.12900775193798
2025-08-27,ASC,NY,Facebook - ASC - C01,181302,2597,1160.83,3805.58,Facebook,2601,1214,1136,216104.95,113084.41,103020.54,3.278326714506,0.44698883326915667,1.4324166308148834,39037.91,34.3643573943662
2025-08-28,ASC,NY,Facebook - ASC - C01,151500,2343,1949.71,5145.42,Facebook,3236,1724,1652,247519.4,145793.47,101725.93,2.639069400064625,0.8321425522833974,1.5465346534653466,47938.44,29.018426150121066
2025-08-29,ASC,NY,Facebook - ASC - C01,151762,2152,1654.67,5365.97,Facebook,3154,1088,1040,226107.82,117891.11,108216.71,3.242924571062508,0.7688986988847584,1.4180097784689185,35822.76,34.44496153846154
2025-08-30,ASC,NY,Facebook - ASC - C01,240992,3806,1486.07,4725.19,Facebook,3000,1426,1353,305078.01,175947.47,129130.54,3.1796550633550233,0.39045454545454544,1.5793055371132652,44135.82,32.62070953436807
2025-08-31,ASC,NY,Facebook - ASC - C01,490463,7104,4653.5,12909.59,Facebook,2395,1079,1038,238354.78,114496.24,123858.54,2.7741678306650908,0.655053490990991,1.448427302365316,45334.08,43.67445086705202
2025-09-01,ASC,NY,Facebook - ASC - C01,288032,3954,2818.02,7657.88,Facebook,3757,1322,1316,296533.91,172492.17,124041.74,2.7174682933407146,0.712701062215478,1.3727641373180757,44880.4,34.103647416413374
2025-09-02,ASC,NY,Facebook - ASC - C01,186019,3016,1633.14,4075.26,Facebook,2619,1273,1283,287607.96,152559.86,135048.1,2.4953525111135604,0.5414920424403183,1.6213397556163616,49675.81,38.71848012470772
2025-09-03,ASC,NY,Facebook - ASC - C01,95505,1511,1006.12,3145.47,Facebook,3681,1452,1383,303803.33,162377.28,141426.05,3.126336818669741,0.6658636664460622,1.5821161195748914,51907.81,37.532762111352135
2025-09-04,ASC,NY,Facebook - ASC - C01,181497,2783,2526.09,6778.1,Facebook,2756,1383,1361,282378.04,158394.37,123983.67,2.6832377310388784,0.9076859504132232,1.5333586781048723,46952.44,34.49848640705364
2025-09-05,ASC,NY,Facebook - ASC - C01,203139,3349,1915.12,5583.06,Facebook,2640,908,863,221288.67,122521.82,98766.85,2.915253352270354,0.5718483129292325,1.6486248332422626,42935.99,49.75201622247972
2025-09-06,ASC,NY,Facebook - ASC - C01,195151,3026,1555.25,4306.78,Facebook,3845,1440,1411,332048.9,199746.55,132302.35,2.7691882334029896,0.5139623265036352,1.5505941552951306,51853.1,36.74918497519489
2025-09-07,ASC,NY,Facebook - ASC - C01,143682,1951,1589.09,4734.45,Facebook,5009,2491,2339,376324.45,183087.68,193236.77,2.9793466701067906,0.8145002562788314,1.3578597179883354,54280.65,23.206776400171012
2025-09-08,ASC,NY,Facebook - ASC - C01,235507,3648,2637.82,8243.75,Facebook,2751,919,907,298644.18,146421.48,152222.7,3.1252132442698892,0.7230866228070176,1.548998543567707,49478.51,54.551830209481814
2025-09-09,ASC,NY,Facebook - ASC - C01,197297,3074,1519.26,4502.77,Facebook,4410,2027,1974,312940.13,151560.16,161379.97,2.963791582744231,0.49422901756668836,1.5580571422778857,52270.93,26.47970111448835
2025-09-10,ASC,NY,Facebook - ASC - C01,145158,2285,1059.02,3066.82,Facebook,2649,946,890,235893.29,141579.4,94313.89,2.895903760080074,0.4634660831509847,1.5741467917717245,41299.16,46.40355056179776
2025-09-11,ASC,NY,Facebook - ASC - C01,182675,2793,2217.28,7259.89,Facebook,2545,1382,1407,266395.31,133847.87,132547.44,3.2742323928416797,0.7938703902613677,1.5289448474065965,44007.87,31.277803837953094
2025-09-12,ASC,NY,Facebook - ASC - C01,411405,6684,4700.5,12428.81,Facebook,2624,966,894,263461.73,146803.98,116657.75,2.6441463674077226,0.7032465589467385,1.624676413752871,45575.9,50.97975391498882
2025-05-16,Prospecting,NY,Facebook - Prospecting - C02,256350,2838,3181.96,8346.97,Facebook,2452,987,989,238010.95,124434.71,113576.24,2.623216508064212,1.1211980267794222,1.107080163838502,40107.26,40.55334681496461
2025-05-17,Prospecting,NY,Facebook - Prospecting - C02,136012,1673,1554.35,4034.35,Facebook,2173,772,761,224086.4,126119.02,97967.38,2.5955222440248336,0.9290794979079497,1.2300385260124107,41682.96,54.77392904073587
2025-05-18,Prospecting,NY,Facebook - Prospecting - C02,214040,2793,1575.7,4317.8,Facebook,2749,1275,1192,226582.57,128282.08,98300.49,2.740242431935013,0.5641604010025063,1.304896281068959,42959.17,36.03957214765101
2025-05-19,Prospecting,NY,Facebook - Prospecting - C02,109150,1271,820.33,2332.67,Facebook,2060,1012,960,203540.86,100212.05,103328.81,2.843575146587349,0.6454209284028325,1.1644525881814016,39938.04,41.602125
2025-05-20,Prospecting,NY,Facebook - Prospecting - C02,169409,1876,1050.86,2967.2,Facebook,1791,910,908,188081.24,115962.11,72119.13,2.8235921055135793,0.5601599147121534,1.1073791829241657,33217.76,36.58343612334802
